number_of_tasks,number_of_drones,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Avg_Energy_consumption,Avg_power,Costmer_density
150,20,20,150,168.73,181.55,579450.6500000001,1.12,7.5,28972.53,8154.684000000001,8154.684000000001,0.5
200,20,20,200,207.07,187.85,722630.6700000003,1.04,10.0,36131.53,10058.6805,10058.6805,0.5
250,20,20,250,252.23,186.54,904535.45,1.01,12.5,45226.77,12425.874499999998,12425.874499999998,0.5
300,20,20,300,301.5,189.0,1096874.96,1.0,15.0,54843.75,14958.4245,14958.4245,0.5
1,21,21,1,15.13,202.22,3060.23,15.13,0.05,145.73,33.9147619047619,33.9147619047619,0.5
50,21,21,50,98.37,210.67,362336.03,1.97,2.38,17254.1,4341.169523809524,4341.169523809524,0.5
100,21,21,100,128.47,182.48,450642.5800000001,1.28,4.76,21459.17,6102.635714285714,6102.635714285714,0.5
150,21,21,150,162.4,188.85,587359.0599999999,1.08,7.14,27969.48,7886.165714285715,7886.165714285715,0.5
200,21,21,200,198.77,189.38,728016.47,0.99,9.52,34667.45,9668.202380952383,9668.202380952383,0.5
250,21,21,250,242.33,190.38,910440.94,0.97,11.9,43354.33,11932.509523809522,11932.509523809522,0.5
300,21,21,300,289.07,186.56,1101974.17,0.96,14.29,52474.96,14319.058095238091,14319.058095238091,0.5
1,22,22,1,15.13,202.22,3060.23,15.13,0.05,139.1,32.37318181818182,32.37318181818182,0.5
50,22,22,50,97.63,226.43,376221.71,1.95,2.27,17100.99,4279.526818181818,4279.526818181818,0.5
100,22,22,100,124.07,187.86,460421.86,1.24,4.55,20928.27,5933.74590909091,5933.74590909091,0.5
150,22,22,150,157.3,185.61,590865.35,1.05,6.82,26857.52,7611.0254545454545,7611.0254545454545,0.5
200,22,22,200,191.77,185.81,733500.86,0.96,9.09,33340.95,9300.485454545456,9300.485454545456,0.5
250,22,22,250,234.8,186.9,917522.51,0.94,11.36,41705.57,11467.155454545456,11467.155454545456,0.5
300,22,22,300,277.23,189.6,1104097.63,0.92,13.64,50186.26,13719.031363636366,13719.031363636366,0.5
1,23,23,1,15.13,202.22,3060.23,15.13,0.04,133.05,30.96565217391305,30.96565217391305,0.5
50,23,23,50,96.9,214.83,389077.95,1.94,2.17,16916.43,4203.0160869565225,4203.0160869565225,0.5
100,23,23,100,121.67,187.09,467479.9900000001,1.22,4.35,20325.22,5772.576521739131,5772.576521739131,0.5
150,23,23,150,154.27,182.19,599968.5900000001,1.03,6.52,26085.59,7393.265217391302,7393.265217391302,0.5
200,23,23,200,186.17,185.05,733806.3699999999,0.93,8.7,31904.62,8974.021304347825,8974.021304347825,0.5
250,23,23,250,227.03,187.22,921521.89,0.91,10.87,40066.17,11067.234782608695,11067.234782608695,0.5
300,23,23,300,266.93,188.44,1109449.5799999998,0.89,13.04,48236.94,13218.702173913043,13218.702173913043,0.5
1,24,24,1,15.13,202.22,3060.23,15.13,0.04,127.51,29.675416666666667,29.675416666666667,0.5
50,24,24,50,92.87,231.54,400036.53,1.86,2.08,16668.19,4118.950416666668,4118.950416666668,0.5
100,24,24,100,118.47,190.34,475509.21,1.18,4.17,19812.88,5666.282499999998,5666.282499999998,0.5
150,24,24,150,149.93,185.84,605003.4100000001,1.0,6.25,25208.48,7170.500833333333,7170.500833333333,0.5
200,24,24,200,179.83,181.91,738915.92,0.9,8.33,30788.16,8659.848750000001,8659.848750000001,0.5
250,24,24,250,218.93,187.6,921786.85,0.88,10.42,38407.79,10674.603333333333,10674.603333333333,0.5
300,24,24,300,257.83,191.76,1112356.91,0.86,12.5,46348.2,12712.025000000003,12712.025000000003,0.5
